,home_formation,home_position,away_formation,away_position,minute,ball_possession,home_goal
5586,4141,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",49,0.2028985507246377,0
5587,4411,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 19, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",52,0.5632183908045977,-1
5588,4411,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 19, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",63,0.4339152119700748,0
5589,4411,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 19, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",74,0.30097087378640774,0
5590,433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",0,0.6656094245582238,-1
5591,433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",66,0.6961602671118531,0
5592,442,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 22, 24]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",85,0.8178571428571428,0
5593,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.5339262187088274,1
5594,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.7248803827751196,0
5595,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",12,0.49288762446657186,-2
5596,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.4953560371517028,0
5597,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",60,0.11764705882352941,0
5598,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",3412,"[1, 3, 4, 5, 7, 8, 9, 11, 19, 22, 24]",0,0.5351032448377581,0
5599,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",0,0.6427981272376756,0
5600,4141,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",0,0.35007105637138797,-1
5601,4141,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",60,0.36363636363636365,0
5602,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 22, 24]",0,0.46764408493427706,-2
5603,433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",442,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 22, 24]",45,0.5283600493218249,3
5604,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",442,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 22, 24]",0,0.6464174454828661,0
5605,4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",4141,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",0,0.5858840475333094,1
5606,451,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.5027624309392266,0
5607,451,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",10,0.2716049382716049,0
5608,451,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",19,0.5618320610687023,0
5609,451,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",39,0.25096525096525096,0
5610,451,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",43,0.36879432624113473,0
5611,451,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",47,0.6928251121076233,0
5612,451,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",451,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",78,0.7674418604651163,0
5613,41212,"[1, 2, 3, 5, 6, 10, 13, 15, 19, 22, 24]",451,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",85,0.5764705882352941,0
5614,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4141,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",0,0.43107861060329067,0
5615,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",41212,"[1, 2, 3, 5, 6, 10, 13, 15, 19, 22, 24]",0,0.5992275698158052,-1
5616,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.4945054945054945,-2
5617,4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.40911294231701406,-2
5618,4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",47,0.6648199445983379,0
5619,433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",0,0.569593147751606,0
5620,433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",45,0.4232233502538071,1
5621,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",3421,"[1, 3, 4, 5, 7, 8, 9, 11, 18, 20, 23]",0,0.47127510509107895,1
5622,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 22, 24]",58,0.27648578811369506,0
5623,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 22, 24]",77,0.5326633165829145,0
5624,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.3931888544891641,1
5625,4141,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.41825344714379514,3
5626,4411,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 19, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.48154981549815495,3
5627,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.6847167794798718,-1
5628,433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.5476065228826933,-1
5629,442,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 22, 24]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.5260811413285778,1
5630,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",0,0.6500530222693531,0
5631,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",0,0.7841666666666667,1
5632,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",52,0.6583924349881797,0
5633,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",76,0.463768115942029,-1
5634,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",81,0.7986111111111112,0
5635,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",85,0.44651162790697674,0
5636,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",0,0.35703703703703704,-1
5637,4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.5552099533437014,2
5638,4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",39,0.5932203389830508,0
5639,4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",45,0.44759825327510916,0
5640,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4411,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 19, 23]",0,0.517866129843986,2
5641,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",442,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 22, 24]",46,0.40826052422557585,0
